Date,Name,Category,Type,Amount,DayOfWeek,IsWeekend,CategoryEncoded,TypeEncoded,Cluster
2024-03-26,Gửi xe lotte,Đi lại,Phát sinh (Nice to have),4000,1.0,0,10,1,1
2024-03-26,Lotte,Mua sắm,Phải chi (Must have),218000,1.0,0,5,2,0
2024-03-26,Gà rán Lotte,Thực phẩm,Phát sinh (Nice to have),97000,1.0,0,8,1,1
2024-03-27,Ăn Hàn Quốc,Thực phẩm,Phát sinh (Nice to have),300000,2.0,0,8,1,1
2024-03-27,Bánh Hỷ Long Môn,Thực phẩm,Lãng phí (Wasted),70000,2.0,0,8,0,1
2024-03-28,Ăn sáng,Thực phẩm,Phải chi (Must have),56000,3.0,0,8,2,0
2024-03-28,Lotte,Thực phẩm,Phát sinh (Nice to have),220000,3.0,0,8,1,1
2024-03-28,Bút chì ,Giáo dục,Phát sinh (Nice to have),10000,3.0,0,2,1,1
2024-03-29,Bún đậu,Thực phẩm,Phát sinh (Nice to have),82000,4.0,0,8,1,1
2024-03-30,Ăn sáng,Thực phẩm,Phải chi (Must have),50000,5.0,1,8,2,2
2024-03-30,Cà phê Hummingbird,Cà phê,Phát sinh (Nice to have),140000,5.0,1,0,1,2
2024-03-30,Nước,Thực phẩm,Phải chi (Must have),65000,5.0,1,8,2,2
2024-03-30,Rau,Thực phẩm,Phải chi (Must have),17000,5.0,1,8,2,2
2024-04-04,Nước,Thực phẩm,Phải chi (Must have),65000,3.0,0,8,2,0
2024-04-01,Card điện thoại,Other,Phát sinh (Nice to have),100000,0.0,0,6,1,1
2024-04-01,Đi chợ,Thực phẩm,Phải chi (Must have),323000,0.0,0,8,2,0
2024-04-01,Cắt tóc,Sức khoẻ,Phải chi (Must have),70000,0.0,0,7,2,0
2024-04-01,quả chanh + tắt,Thực phẩm,Phải chi (Must have),6000,0.0,0,8,2,0
2024-04-01,Gửi xe lotte,Đi lại,Phát sinh (Nice to have),4000,0.0,0,10,1,1
2024-04-01,GIấy ăn ,Mua sắm,Phải chi (Must have),33000,0.0,0,5,2,0
2024-04-01,Chuối,Thực phẩm,Phát sinh (Nice to have),12000,0.0,0,8,1,1
2024-04-01,Phúc long,Thực phẩm,Phát sinh (Nice to have),45000,0.0,0,8,1,1
2024-04-01,Trứng và tỏi,Thực phẩm,Phải chi (Must have),35000,0.0,0,8,2,0
2024-04-02,Chè,Thực phẩm,Phát sinh (Nice to have),85000,1.0,0,8,1,1
2024-04-02,Cơm tấm + Bún mắm,Thực phẩm,Phát sinh (Nice to have),86000,1.0,0,8,1,1
2024-04-03,Highland,Thực phẩm,Phát sinh (Nice to have),55000,2.0,0,8,1,1
2024-04-03,Ăn sáng,Thực phẩm,Phải chi (Must have),66000,2.0,0,8,2,0
2024-04-04,Bánh mì,Thực phẩm,Phải chi (Must have),17000,3.0,0,8,2,0
2024-04-04,Cà phê Passio,Cà phê,Phát sinh (Nice to have),50000,3.0,0,0,1,1
2024-04-04,Đổ xăng,Đi lại,Phải chi (Must have),50000,3.0,0,10,2,0
2024-04-03,Lotte,Thực phẩm,Phát sinh (Nice to have),216000,2.0,0,8,1,1
2024-04-05,Netflix,Giải trí,Phải chi (Must have),53000,4.0,0,3,2,0
2024-04-05,Dừa,Thực phẩm,Phải chi (Must have),26000,4.0,0,8,2,0
2024-04-05,Ăn sáng,Thực phẩm,Phát sinh (Nice to have),70000,4.0,0,8,1,1
2024-04-05,Cà phê ở Sala,Cà phê,Phát sinh (Nice to have),100000,4.0,0,0,1,1
2024-04-06,Tiền nhà,Hoá đơn - Thanh toán định kì,Phải chi (Must have),5030000,5.0,1,4,2,2
2024-04-06,Chè,Thực phẩm,Phát sinh (Nice to have),30000,5.0,1,8,1,2
2024-04-06,Gửi xe lotte,Đi lại,Phát sinh (Nice to have),4000,5.0,1,10,1,2
2024-04-08,Nước,Thực phẩm,Phải chi (Must have),65000,0.0,0,8,2,0
2024-04-07,Đi chợ,Thực phẩm,Phải chi (Must have),430000,6.0,1,8,2,2
2024-04-08,Cà phê Passio,Cà phê,Phát sinh (Nice to have),50000,0.0,0,0,1,1
2024-04-08,Bún + gía,Thực phẩm,Phải chi (Must have),13000,0.0,0,8,2,0
2024-04-09,Chè ,Thực phẩm,Lãng phí (Wasted),30000,1.0,0,8,0,1
,,Unknown,Unknown,0,,0,9,3,0
2024-04-09,Nước mía,Thực phẩm,Lãng phí (Wasted),12000,1.0,0,8,0,1
2024-04-09,Lotte (Trứng + Nước lau sàn+chố),Mua sắm,Phải chi (Must have),139000,1.0,0,5,2,0
2024-04-10,Cà phê passio,Cà phê,Phát sinh (Nice to have),38000,2.0,0,0,1,1
2024-04-10,Internet,Hoá đơn - Thanh toán định kì,Phải chi (Must have),250000,2.0,0,4,2,0
2024-04-10,Trả tín dụng,Hoá đơn - Thanh toán định kì,Phải chi (Must have),4200000,2.0,0,4,2,0
2024-04-10,Trái cây Lotte,Thực phẩm,Phát sinh (Nice to have),332000,2.0,0,8,1,1
2024-04-11,Đổ xăng,Đi lại,Phải chi (Must have),50000,3.0,0,10,2,0
2024-04-11,Bún đậu,Thực phẩm,Phát sinh (Nice to have),146000,3.0,0,8,1,1
2024-04-12,Chè,Thực phẩm,Phát sinh (Nice to have),15000,4.0,0,8,1,1
2024-04-12,Cà phê Passio,Cà phê,Phát sinh (Nice to have),25000,4.0,0,0,1,1
2024-04-13,Cà phê passio,Cà phê,Phát sinh (Nice to have),50000,5.0,1,0,1,2
2024-04-13,Nước,Thực phẩm,Phải chi (Must have),65000,5.0,1,8,2,2
2024-04-13,Nem cuốn,Thực phẩm,Phát sinh (Nice to have),134000,5.0,1,8,1,2
2024-04-15,LinkedIn Account,Other,Lãng phí (Wasted),750000,0.0,0,6,0,1
2024-04-14,Đi chợ,Thực phẩm,Phải chi (Must have),400000,6.0,1,8,2,2
2024-04-15,Bánh tráng trộn,Thực phẩm,Lãng phí (Wasted),35000,0.0,0,8,0,1
2024-04-15,Thuốc nhỏ mắt,Sức khoẻ,Phát sinh (Nice to have),61000,0.0,0,7,1,1
2024-04-16,Cà phê Passio,Cà phê,Phát sinh (Nice to have),49000,1.0,0,0,1,1
2024-04-16,Đồ ăn Kenhbachau,Thực phẩm,Phát sinh (Nice to have),292000,1.0,0,8,1,1
2024-04-17,Ăn sáng,Thực phẩm,Phải chi (Must have),33000,2.0,0,8,2,0
2024-04-17,Cà phê Passio,Cà phê,Phát sinh (Nice to have),25000,2.0,0,0,1,1
2024-04-17,Kindle book,Giáo dục,Phát sinh (Nice to have),5000,2.0,0,2,1,1
