Date,Name,Category,Type,Amount
"March 21, 2024",Bánh tráng trộn,Thực phẩm,Lãng phí (Wasted),"30,000"
"March 21, 2024",Để xe Lotte,Đi lại,Phát sinh (Nice to have),"4,000"
"March 21, 2024",Trứng gà,Thực phẩm,Phát sinh (Nice to have),"6,000"
"March 22, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"56,000"
"March 22, 2024",Bánh mì,Thực phẩm,Phát sinh (Nice to have),"40,000"
"March 22, 2024",Cà phê Hummingbird,Cà phê,Phát sinh (Nice to have),"160,000"
"March 22, 2024",Cà phê hạt Hummingbird,Cà phê,Phải chi (Must have),"335,000"
"March 22, 2024",Thảm Yoga,Sức khoẻ,Phát sinh (Nice to have),"325,000"
"March 22, 2024",Yến mạnh + hạt hướng dương,Thực phẩm,Phát sinh (Nice to have),"322,000"
"March 22, 2024",Trái cây Aeon Mall,Thực phẩm,Phát sinh (Nice to have),"265,000"
"March 23, 2024",Trứng + mì tôm,Thực phẩm,Phải chi (Must have),"38,000"
"March 23, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"March 23, 2024",Chè,Thực phẩm,Phát sinh (Nice to have),"40,000"
"March 24, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"286,000"
"March 25, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"March 26, 2024",Gửi xe lotte,Đi lại,Phát sinh (Nice to have),"4,000"
"March 26, 2024",Lotte,Mua sắm,Phải chi (Must have),"218,000"
"March 26, 2024",Gà rán Lotte,Thực phẩm,Phát sinh (Nice to have),"97,000"
"March 27, 2024",Ăn Hàn Quốc,Thực phẩm,Phát sinh (Nice to have),"300,000"
"March 27, 2024",Bánh Hỷ Long Môn,Thực phẩm,Lãng phí (Wasted),"70,000"
"March 28, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"56,000"
"March 28, 2024",Lotte,Thực phẩm,Phát sinh (Nice to have),"220,000"
"March 28, 2024",Bút chì ,Giáo dục,Phát sinh (Nice to have),"10,000"
"March 29, 2024",Bún đậu,Thực phẩm,Phát sinh (Nice to have),"82,000"
"March 30, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"50,000"
"March 30, 2024",Cà phê Hummingbird,Cà phê,Phát sinh (Nice to have),"140,000"
"March 30, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"March 30, 2024",Rau,Thực phẩm,Phải chi (Must have),"17,000"
"April 4, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"April 1, 2024",Card điện thoại,Other,Phát sinh (Nice to have),"100,000"
"April 1, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"323,000"
"April 1, 2024",Cắt tóc,Sức khoẻ,Phải chi (Must have),"70,000"
"April 1, 2024",quả chanh + tắt,Thực phẩm,Phải chi (Must have),"6,000"
"April 1, 2024",Gửi xe lotte,Đi lại,Phát sinh (Nice to have),"4,000"
"April 1, 2024",GIấy ăn ,Mua sắm,Phải chi (Must have),"33,000"
"April 1, 2024",Chuối,Thực phẩm,Phát sinh (Nice to have),"12,000"
"April 1, 2024",Phúc long,Thực phẩm,Phát sinh (Nice to have),"45,000"
"April 1, 2024",Trứng và tỏi,Thực phẩm,Phải chi (Must have),"35,000"
"April 2, 2024",Chè,Thực phẩm,Phát sinh (Nice to have),"85,000"
"April 2, 2024",Cơm tấm + Bún mắm,Thực phẩm,Phát sinh (Nice to have),"86,000"
"April 3, 2024",Highland,Thực phẩm,Phát sinh (Nice to have),"55,000"
"April 3, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"66,000"
"April 4, 2024",Bánh mì,Thực phẩm,Phải chi (Must have),"17,000"
"April 4, 2024",Cà phê Passio,Cà phê,Phát sinh (Nice to have),"50,000"
"April 4, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"April 3, 2024",Lotte,Thực phẩm,Phát sinh (Nice to have),"216,000"
"April 5, 2024",Netflix,Giải trí,Phải chi (Must have),"53,000"
"April 5, 2024",Dừa,Thực phẩm,Phải chi (Must have),"26,000"
"April 5, 2024",Ăn sáng,Thực phẩm,Phát sinh (Nice to have),"70,000"
"April 5, 2024",Cà phê ở Sala,Cà phê,Phát sinh (Nice to have),"100,000"
"April 6, 2024",Tiền nhà,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"5,030,000"
"April 6, 2024",Chè,Thực phẩm,Phát sinh (Nice to have),"30,000"
"April 6, 2024",Gửi xe lotte,Đi lại,Phát sinh (Nice to have),"4,000"
"April 8, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"April 7, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"430,000"
"April 8, 2024",Cà phê Passio,Cà phê,Phát sinh (Nice to have),"50,000"
"April 8, 2024",Bún + gía,Thực phẩm,Phải chi (Must have),"13,000"
"April 9, 2024",Chè ,Thực phẩm,Lãng phí (Wasted),"30,000"
,,,,0
"April 9, 2024",Nước mía,Thực phẩm,Lãng phí (Wasted),"12,000"
"April 9, 2024",Lotte (Trứng + Nước lau sàn+chố),Mua sắm,Phải chi (Must have),"139,000"
"April 10, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"38,000"
"April 10, 2024",Internet,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"250,000"
"April 10, 2024",Trả tín dụng,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"4,200,000"
"April 10, 2024",Trái cây Lotte,Thực phẩm,Phát sinh (Nice to have),"332,000"
"April 11, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"April 11, 2024",Bún đậu,Thực phẩm,Phát sinh (Nice to have),"146,000"
"April 12, 2024",Chè,Thực phẩm,Phát sinh (Nice to have),"15,000"
"April 12, 2024",Cà phê Passio,Cà phê,Phát sinh (Nice to have),"25,000"
"April 13, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"50,000"
"April 13, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"April 13, 2024",Nem cuốn,Thực phẩm,Phát sinh (Nice to have),"134,000"
"April 15, 2024",LinkedIn Account,Other,Lãng phí (Wasted),"750,000"
"April 14, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"400,000"
"April 15, 2024",Bánh tráng trộn,Thực phẩm,Lãng phí (Wasted),"35,000"
"April 15, 2024",Thuốc nhỏ mắt,Sức khoẻ,Phát sinh (Nice to have),"61,000"
"April 16, 2024",Cà phê Passio,Cà phê,Phát sinh (Nice to have),"49,000"
"April 16, 2024",Đồ ăn Kenhbachau,Thực phẩm,Phát sinh (Nice to have),"292,000"
"April 17, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"33,000"
"April 17, 2024",Cà phê Passio,Cà phê,Phát sinh (Nice to have),"25,000"
"April 17, 2024",Kindle book,Giáo dục,Phát sinh (Nice to have),"5,000"
"April 17, 2024",Bún mắm miền tây,Thực phẩm,Phát sinh (Nice to have),"104,000"
"April 17, 2024",Chè,Thực phẩm,Lãng phí (Wasted),"40,000"
"April 17, 2024",Rửa xe,Đi lại,Phát sinh (Nice to have),"30,000"
"April 18, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"459,000"
"April 18, 2024",Trái cây,Thực phẩm,Phát sinh (Nice to have),"309,000"
"April 19, 2024",Ăn sáng bánh mì,Thực phẩm,Phải chi (Must have),"20,000"
"April 19, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"April 19, 2024",Highland,Thực phẩm,Lãng phí (Wasted),"55,000"
"April 20, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"25,000"
"April 20, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"142,000"
"April 20, 2024",Mì tôm,Thực phẩm,Phát sinh (Nice to have),"10,000"
"April 20, 2024",Phở,Thực phẩm,Phát sinh (Nice to have),"40,000"
"April 20, 2024",Japani Matcha,Thực phẩm,Phát sinh (Nice to have),"141,000"
"April 21, 2024",Cà phê Passio,Cà phê,Phát sinh (Nice to have),"25,000"
"April 21, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"14,500"
"April 22, 2024",Cà phê Passio,Cà phê,Phát sinh (Nice to have),"25,000"
"April 21, 2024",Đồ ăn ở quê,Thực phẩm,Phải chi (Must have),"3,000,000"
"April 22, 2024",Cà phê muối,Cà phê,Phát sinh (Nice to have),"25,000"
"April 22, 2024",Rau,Thực phẩm,Phải chi (Must have),"44,000"
"April 23, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"April 23, 2024",Cà phê Passio,Cà phê,Phát sinh (Nice to have),"60,000"
"April 23, 2024",Chụp hình passport,Other,Phát sinh (Nice to have),"30,000"
"April 23, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"April 23, 2024",Nước ngọt,Thực phẩm,Lãng phí (Wasted),"20,000"
"April 22, 2024",Giấy lọc cà phê,Cà phê,Phát sinh (Nice to have),"152,000"
"April 23, 2024",Bún,Thực phẩm,Phải chi (Must have),"10,000"
"April 24, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"20,000"
"April 24, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"April 25, 2024",Cà phê passio,Cà phê,Phát sinh (Nice to have),"19,000"
"April 25, 2024",Dừa,Thực phẩm,Phát sinh (Nice to have),"16,000"
"April 25, 2024",Trà đen tóc,Thực phẩm,Phát sinh (Nice to have),"330,000"
"April 25, 2024",Cà phê hạt hummingbird,Cà phê,Phải chi (Must have),"215,000"
"April 25, 2024",Vinmart,Thực phẩm,Phát sinh (Nice to have),"86,000"
"April 26, 2024",Mì spagetti và chuối,Thực phẩm,Phải chi (Must have),"84,000"
"April 26, 2024",Mít,Thực phẩm,Phát sinh (Nice to have),"34,000"
"April 27, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"68,000"
"April 27, 2024",Vé xem phim Lật mặt 7,Giải trí,Phát sinh (Nice to have),"168,000"
"April 27, 2024",Rau,Thực phẩm,Phải chi (Must have),"32,000"
"April 28, 2024",Bánh cuốn tây sơn,Thực phẩm,Phát sinh (Nice to have),"69,000"
"April 28, 2024",Gửi xe Lotte,Đi lại,Phát sinh (Nice to have),"5,000"
"April 28, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"April 28, 2024",Đi chợ + trái cây,Thực phẩm,Phải chi (Must have),"32,000"
"April 28, 2024",Nước ép trái cây,Thực phẩm,Phát sinh (Nice to have),"35,000"
"April 29, 2024",Lotte,Mua sắm,Phát sinh (Nice to have),"546,000"
"May 1, 2024",Bánh mì,Thực phẩm,Phải chi (Must have),"40,000"
"May 1, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"225,000"
"May 2, 2024",Ăn sáng,Thực phẩm,Phải chi (Must have),"55,000"
"May 2, 2024",Nước trái cây,Thực phẩm,Phát sinh (Nice to have),"115,000"
"May 2, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"May 2, 2024",Vé xem phim,Giải trí,Phát sinh (Nice to have),"168,000"
"May 2, 2024",Bao tay,Mua sắm,Phải chi (Must have),"34,000"
